,tissue
GTEX-14753-0426-SM-5NQAM,SKIN
GTEX-ZYVF-2226-SM-5GIDD,ESOPHAGUS
GTEX-13G51-2326-SM-5LZXV,PROSTATE
GTEX-WZTO-0426-SM-3NM99,LUNG
GTEX-Y8DK-0126-SM-4TT3L,SKIN
GTEX-13JVG-2026-SM-5KM1N,ESOPHAGUS
GTEX-Z93S-0011-R5b-SM-4RGNI,BRAIN
GTEX-11TT1-2526-SM-5EGIB,SKIN
GTEX-13VXT-1426-SM-5LU4B,LUNG
GTEX-ZVZQ-0008-SM-51MSK,SKIN
GTEX-ZUA1-0011-R5b-SM-51MTG,BRAIN
GTEX-T6MN-0011-R6A-SM-32QP8,BRAIN
GTEX-O5YT-1026-SM-3MJGF,PANCREAS
GTEX-12584-0011-R6a-SM-5NQ7C,BRAIN
GTEX-12WS9-2826-SM-5FQU9,BRAIN
GTEX-NL3H-0008-SM-4E3HU,SKIN
GTEX-13OW5-0011-R3a-SM-5L3I5,BRAIN
GTEX-13CF3-1726-SM-5LU9E,ESOPHAGUS
GTEX-WWYW-0011-R7A-SM-3NB3H,BRAIN
GTEX-YB5E-1926-SM-5IFIG,TESTIS
GTEX-T2IS-0926-SM-4DM5B,ESOPHAGUS
GTEX-NL3G-0526-SM-4RTWW,LUNG
GTEX-1117F-2226-SM-5N9CH,OVARY
GTEX-13OW7-3026-SM-5L3GY,BRAIN
GTEX-XYKS-1526-SM-4BRUP,ESOPHAGUS
GTEX-11NSD-2226-SM-5986V,SKIN
GTEX-S7SE-0326-SM-4AT5Q,TESTIS
GTEX-WYVS-1926-SM-4SOIC,LIVER
GTEX-T5JC-2126-SM-32PMO,BREAST
GTEX-11DZ1-0326-SM-5N9BN,BREAST
GTEX-Y5V5-1526-SM-4VBQ1,ESOPHAGUS
GTEX-R55E-1326-SM-48FCR,ESOPHAGUS
GTEX-11ZTS-0126-SM-5EQ6M,SKIN
GTEX-131YS-2326-SM-5IJFJ,UTERUS
GTEX-RU1J-0426-SM-46MUK,ESOPHAGUS
GTEX-OXRP-0926-SM-48TC1,ESOPHAGUS
GTEX-14753-0011-R10b-SM-5S2WE,BRAIN
GTEX-13W3W-0726-SM-5IJDQ,SKIN
GTEX-11P82-1326-SM-5HL62,BREAST
GTEX-Z93S-0008-SM-4RGM5,SKIN
GTEX-X261-0626-SM-3NMD9,BREAST
K-562-SM-3LK7S,BONE MARROW
GTEX-1399T-0826-SM-5IFES,LIVER
GTEX-14E6C-2626-SM-5RQJP,THYROID
GTEX-N7MS-1126-SM-3LK5E,ESOPHAGUS
GTEX-13OW6-1626-SM-5IJD5,ESOPHAGUS
GTEX-Y5V5-1626-SM-4VDSG,ESOPHAGUS
GTEX-11GSP-1726-SM-5A5LI,ESOPHAGUS
GTEX-NPJ8-0011-R5a-SM-2HMJY,BRAIN
GTEX-ZAK1-2526-SM-5S2N7,UTERUS
GTEX-13X6I-0011-R10a-SM-5PNWI,BRAIN
GTEX-Y8E4-0526-SM-4V6GC,LUNG
GTEX-11EQ9-1626-SM-5PNY8,SKIN
GTEX-SUCS-0526-SM-4DM56,ADRENAL GLAND
GTEX-U4B1-0926-SM-4DXUV,ESOPHAGUS
GTEX-NPJ8-0326-SM-26GMX,LUNG
GTEX-1399U-1326-SM-5IJET,UTERUS
GTEX-13SLX-1226-SM-5S2Q6,LIVER
GTEX-U412-1826-SM-4DXTJ,BREAST
GTEX-X5EB-2026-SM-4E3KA,TESTIS
GTEX-RNOR-0926-SM-2TF56,THYROID
GTEX-RTLS-0126-SM-447CA,SKIN
GTEX-1269C-0126-SM-5EQ5L,SKIN
GTEX-132QS-1826-SM-5IFFN,STOMACH
GTEX-13FTW-1426-SM-5LZWZ,BREAST
GTEX-ZVE2-0008-SM-51MRU,SKIN
GTEX-VUSG-0126-SM-4KL1X,LIVER
GTEX-ZXG5-0011-R8a-SM-57WD1,BRAIN
GTEX-V955-1026-SM-4JBHO,ESOPHAGUS
GTEX-QDT8-0011-R9A-SM-5SI8J,BRAIN
K-562-SM-3MJHH,BONE MARROW
GTEX-ZT9W-1226-SM-57WE4,ESOPHAGUS
GTEX-1445S-0011-R7b-SM-5PNUG,BRAIN
GTEX-UPJH-0226-SM-3GADV,SKIN
GTEX-N7MT-0011-R3a-SM-2I3GC,BRAIN
GTEX-13PL6-2926-SM-5L3I2,BREAST
GTEX-12584-0826-SM-5FQSK,THYROID
GTEX-Y5LM-1226-SM-4VDT6,ESOPHAGUS
GTEX-SIU7-1426-SM-4BRWT,STOMACH
GTEX-13QBU-1526-SM-5LU3W,OVARY
GTEX-13X6I-0011-R11a-SM-5P9HN,BRAIN
GTEX-14ABY-0011-R4b-SM-5S2VN,BRAIN
GTEX-132Q8-0011-R5a-SM-5IJDM,BRAIN
GTEX-12WSJ-0926-SM-5P9JD,STOMACH
GTEX-YEC4-0008-SM-4W1YR,SKIN
GTEX-13QIC-0011-R1a-SM-5O9CJ,BRAIN
GTEX-ZVZQ-0011-R7b-SM-57WBB,BRAIN
GTEX-1399R-0826-SM-5IJEL,ESOPHAGUS
GTEX-13JVG-0011-R1a-SM-5KM32,BRAIN
GTEX-ZZPU-1826-SM-5E43L,ESOPHAGUS
GTEX-13NZ9-1026-SM-5MR5K,BREAST
GTEX-11TT1-1726-SM-5EQLJ,LIVER
GTEX-W5X1-0008-SM-4LMKA,SKIN
GTEX-XMD3-2326-SM-4AT5H,OVARY
GTEX-ZQG8-0726-SM-5P9H9,BREAST
GTEX-XLM4-0008-SM-4AT4W,SKIN
GTEX-S32W-0726-SM-2XCBL,THYROID
GTEX-13N11-0226-SM-5KM3C,PANCREAS
GTEX-1269C-0011-R4b-SM-5P9ES,BRAIN
GTEX-14AS3-1326-SM-5RQJE,OVARY
GTEX-13JUV-2926-SM-5LZX7,BRAIN
GTEX-13FHO-0011-R7b-SM-5LZXD,BRAIN
GTEX-11TTK-0826-SM-5N9EG,THYROID
GTEX-145MH-0626-SM-5NQAK,LUNG
GTEX-QV44-0008-SM-447AX,SKIN
GTEX-132Q8-0011-R7b-SM-5N9F1,BRAIN
GTEX-XQ3S-0008-SM-4GIDZ,SKIN
GTEX-13G51-1826-SM-5KLZH,SKIN
GTEX-T6MN-2526-SM-32PMN,BRAIN
GTEX-ZLFU-0926-SM-5P9F8,KIDNEY
GTEX-13OVL-0011-R4b-SM-5L3HV,BRAIN
GTEX-XPVG-1026-SM-4B64Y,LUNG
GTEX-11H98-0011-R11b-SM-5NQ6U,BRAIN
GTEX-O5YV-0526-SM-2I5GE,LUNG
GTEX-11ZTT-2126-SM-5CVLO,SKIN
GTEX-13S7M-0011-R3a-SM-5PNX2,BRAIN
GTEX-13RTJ-2426-SM-5S2Q2,SKIN
GTEX-Y5V5-1026-SM-5LUAH,PANCREAS
GTEX-PWN1-0726-SM-48TDR,ESOPHAGUS
GTEX-13VXU-0926-SM-5IFFH,LIVER
GTEX-NL3H-0011-R6a-SM-2I3G8,BRAIN
GTEX-TML8-0926-SM-4DXSJ,OVARY
GTEX-WHSE-1426-SM-4M1XG,ESOPHAGUS
GTEX-VJYA-0826-SM-4KL1M,PANCREAS
GTEX-ZAJG-2826-SM-5HL8D,UTERUS
GTEX-Y5LM-0526-SM-4V6G3,PANCREAS
GTEX-13OVJ-1326-SM-5K7Z9,ESOPHAGUS
GTEX-13CF3-2426-SM-5IFGX,SKIN
GTEX-13N2G-0011-R10a-SM-5MR34,BRAIN
GTEX-OOBK-0726-SM-3LK5Q,ESOPHAGUS
GTEX-PLZ4-0008-SM-48TE6,SKIN
GTEX-ZXES-0008-SM-57WCX,SKIN
GTEX-WWYW-0011-R8A-SM-3NB3S,BRAIN
GTEX-TSE9-3026-SM-3DB76,BRAIN
GTEX-OIZH-0626-SM-3NB1L,ESOPHAGUS
GTEX-YEC4-1826-SM-4W1YP,SKIN
GTEX-YF7O-0008-SM-4W1ZS,SKIN
GTEX-13W3W-1426-SM-5LU56,UTERUS
GTEX-R3RS-1026-SM-3GADF,LUNG
GTEX-QDVN-0726-SM-2I3FO,LUNG
GTEX-Y5LM-0626-SM-4V6G4,THYROID
GTEX-ZDTT-1126-SM-4WKFW,PANCREAS
GTEX-13SLW-0126-SM-5SI6C,SKIN
GTEX-11NUK-1026-SM-5HL5J,THYROID
GTEX-T5JW-0008-SM-4DM5X,SKIN
GTEX-13QJC-0011-R7b-SM-5PNUM,BRAIN
GTEX-P44H-1126-SM-48TBU,LUNG
GTEX-XMD1-0011-R2B-SM-4AT5N,BRAIN
GTEX-13W3W-1726-SM-5LU4A,ESOPHAGUS
GTEX-11TUW-2726-SM-5EQLC,SKIN
K-562-SM-5K7ZB,BONE MARROW
GTEX-13OVI-0526-SM-5IFFQ,PANCREAS
GTEX-YFC4-0011-R7b-SM-4V6E2,BRAIN
GTEX-13OW6-0011-R7b-SM-5L3H4,BRAIN
GTEX-13O3O-0011-R8b-SM-5LUAL,BRAIN
GTEX-ZVP2-0326-SM-57WBP,SKIN
GTEX-13PL6-1026-SM-5L3E5,THYROID
GTEX-ZAB5-2426-SM-5CVMW,TESTIS
GTEX-PLZ6-0626-SM-5J1P1,ESOPHAGUS
GTEX-13X6J-1626-SM-5Q5CV,ESOPHAGUS
K-562-SM-3P61Y,BONE MARROW
GTEX-13OW8-0126-SM-5IJE5,THYROID
GTEX-11OF3-0011-R5a-SM-57WB4,BRAIN
GTEX-QMR6-0011-R1A-SM-32PKW,BRAIN
GTEX-13VXU-0726-SM-5J2O7,TESTIS
GTEX-ZLWG-0326-SM-4WWC7,PANCREAS
GTEX-X261-3126-SM-4PQZC,BRAIN
GTEX-139TU-0011-R5b-SM-5L3E1,BRAIN
GTEX-ZVT4-0626-SM-5E45T,LIVER
GTEX-11ZTS-0008-SM-5S2VC,SKIN
GTEX-144GN-0626-SM-5O9B2,ESOPHAGUS
GTEX-11WQK-1226-SM-5GU5Z,LUNG
GTEX-1313W-0011-R11a-SM-5DUXN,BRAIN
GTEX-12126-1026-SM-5P9JJ,BRAIN
GTEX-Q734-1026-SM-48U16,STOMACH
GTEX-ZYT6-1326-SM-5E453,PANCREAS
GTEX-13OVG-0326-SM-5KM57,LUNG
GTEX-PWN1-0626-SM-48TDT,ESOPHAGUS
GTEX-145MI-0011-R5a-SM-5Q5B4,BRAIN
GTEX-132NY-2226-SM-5J2LZ,ADRENAL GLAND
GTEX-SE5C-0726-SM-4BRWY,THYROID
GTEX-13QJC-0011-R1b-SM-5S2UU,BRAIN
GTEX-11NUK-2626-SM-5A5MB,TESTIS
GTEX-U3ZM-0526-SM-4DXTB,ESOPHAGUS
GTEX-WY7C-0426-SM-3NB3C,LUNG
GTEX-V1D1-1726-SM-4JBHB,STOMACH
GTEX-ZDXO-0226-SM-4WKH7,KIDNEY
GTEX-ZWKS-0626-SM-5GIDV,SKIN
GTEX-ZV7C-0726-SM-59HKH,PANCREAS
GTEX-WXYG-1026-SM-4ONCD,ESOPHAGUS
GTEX-ZE9C-0011-R4a-SM-4WKH6,BRAIN
GTEX-11O72-2926-SM-5BC4V,BRAIN
GTEX-146FH-2126-SM-5SI9U,STOMACH
GTEX-ZT9X-1526-SM-5DUXD,SKIN
GTEX-P78B-1026-SM-3NMC4,ESOPHAGUS
GTEX-RVPU-0011-R3A-SM-2XCAE,BRAIN
GTEX-11ZVC-1426-SM-5EGGA,OVARY
GTEX-131YS-3126-SM-5KLYT,BRAIN
GTEX-U3ZN-1026-SM-4DXTC,OVARY
GTEX-14C5O-1726-SM-5RQI9,ESOPHAGUS
GTEX-13O21-3026-SM-5J2NI,LUNG
GTEX-132QS-0126-SM-5IFH9,ADRENAL GLAND
GTEX-PWO3-0011-R2A-SM-2S1OX,BRAIN
GTEX-13PVQ-2126-SM-5L3FW,STOMACH
GTEX-WHSB-1626-SM-3LK6J,THYROID
GTEX-11OF3-1926-SM-59889,BREAST
GTEX-131XE-0126-SM-5LZVC,THYROID
GTEX-X4XX-0008-SM-46MVK,SKIN
GTEX-YEC3-0826-SM-5P9JF,THYROID
GTEX-13QJ3-1926-SM-5QGQM,ESOPHAGUS
GTEX-ZXG5-0126-SM-5GIEU,SKIN
GTEX-11GSP-2426-SM-5N9BD,UTERUS
GTEX-X3Y1-1126-SM-4PQZ9,ESOPHAGUS
GTEX-P4PQ-0008-SM-48TDX,SKIN
GTEX-145LU-0011-R1a-SM-5Q5CE,BRAIN
GTEX-TML8-0526-SM-32QOQ,PANCREAS
GTEX-144FL-2726-SM-5O98Z,ESOPHAGUS
GTEX-Y3IK-0226-SM-51MRJ,ADRENAL GLAND
GTEX-P78B-1926-SM-3P616,OVARY
GTEX-ZVT2-1326-SM-5E45H,ESOPHAGUS
GTEX-13CZV-0011-R7b-SM-5LZXH,BRAIN
GTEX-YB5K-2126-SM-4WWDJ,SKIN
GTEX-12696-3026-SM-5FQTU,BRAIN
GTEX-P4PP-0526-SM-2HMKE,LUNG
GTEX-ZAB4-0011-R1a-SM-4RGNO,BRAIN
GTEX-139TU-1226-SM-5J2NL,ESOPHAGUS
GTEX-13NYS-0011-R5a-SM-5MR4D,BRAIN
GTEX-133LE-0626-SM-5IFFJ,ESOPHAGUS
GTEX-P44G-0011-R5A-SM-2I3FA,BRAIN
GTEX-13OVJ-2826-SM-5L3GW,BRAIN
GTEX-13O3Q-2926-SM-5KM45,BRAIN
GTEX-13FHP-3026-SM-5IJBS,BRAIN
GTEX-13O61-1826-SM-5KM4I,BREAST
GTEX-11VI4-0226-SM-5GU6C,THYROID
GTEX-1399R-0926-SM-5J2N8,ESOPHAGUS
GTEX-ZTSS-0726-SM-51MSN,ESOPHAGUS
GTEX-13X6K-0011-R5b-SM-5PNUE,BRAIN
GTEX-139TU-0726-SM-5L3EK,SKIN
GTEX-ZAB5-1226-SM-5P9FY,ESOPHAGUS
GTEX-ZV7C-0126-SM-57WDE,THYROID
GTEX-P4QS-2126-SM-3NMCF,TESTIS
GTEX-132NY-0926-SM-5P9G3,LIVER
GTEX-ZT9W-2226-SM-57WFU,TESTIS
GTEX-Z93S-0011-R2a-SM-4RGNG,BRAIN
GTEX-T2IS-0008-SM-4DM75,SKIN
GTEX-NFK9-0008-SM-4E3JE,SKIN
GTEX-146FQ-1226-SM-5QGQ4,ESOPHAGUS
GTEX-131YS-0011-R9b-SM-5EQLY,BRAIN
GTEX-YF7O-0626-SM-4W21R,LUNG
GTEX-WHSE-3026-SM-3P5ZH,BRAIN
GTEX-TSE9-0126-SM-3DB83,SKIN
GTEX-ZZPU-0426-SM-5GZYH,LIVER
GTEX-WYVS-2126-SM-3NMA3,SKIN
GTEX-1192X-0008-SM-5Q5B7,SKIN
GTEX-WVLH-3026-SM-3MJG9,BRAIN
GTEX-13OVL-0011-R7a-SM-5P9GW,BRAIN
GTEX-OHPN-0011-R4A-SM-2I5FD,BRAIN
K-562-SM-5Q59U,BONE MARROW
GTEX-11ZUS-0011-R9b-SM-5BC76,BRAIN
GTEX-T6MN-2026-SM-4DM7L,TESTIS
GTEX-Q2AH-1126-SM-48TZM,STOMACH
GTEX-WWYW-3026-SM-3NB36,BRAIN
GTEX-ZV6S-1426-SM-59HKX,OVARY
GTEX-RVPV-0011-R5A-SM-2TF69,BRAIN
GTEX-12WSH-0326-SM-5GCNH,TESTIS
GTEX-OHPM-2626-SM-2HMJL,THYROID
GTEX-ZXG5-2126-SM-59HKD,SKIN
GTEX-WQUQ-2126-SM-4OOSO,PANCREAS
GTEX-X261-1726-SM-4PQYT,LIVER
GTEX-RVPU-0011-R7A-SM-2XCAB,BRAIN
GTEX-131XG-1326-SM-5DUX4,ADRENAL GLAND
GTEX-ZXES-1826-SM-5E43S,SKIN
K-562-SM-2D7VY,BONE MARROW
GTEX-WHPG-0226-SM-3NMB9,THYROID
GTEX-13W3W-1826-SM-5IJDE,ESOPHAGUS
GTEX-Q2AG-0011-R1A-SM-2HMJI,BRAIN
GTEX-Y8LW-0826-SM-4WWDO,STOMACH
GTEX-1122O-2126-SM-5EGIR,SKIN
GTEX-131XW-0011-R8a-SM-5DUWY,BRAIN
GTEX-ZAB4-0011-R6a-SM-4SOKD,BRAIN
GTEX-YEC4-1126-SM-5CVLW,ESOPHAGUS
GTEX-RWS6-1126-SM-47JXC,PANCREAS
GTEX-QVJO-0011-R9A-SM-2S1QH,BRAIN
GTEX-WRHU-2826-SM-3MJG8,SKIN
GTEX-11P7K-2126-SM-5GU7G,SKIN
GTEX-YECK-1926-SM-4W21H,LIVER
GTEX-11DYG-0126-SM-59883,SKIN
GTEX-S7SE-2526-SM-2XCDL,BRAIN
GTEX-ZF28-0008-SM-4E3K3,SKIN
GTEX-12WSA-2926-SM-5EQ4D,BRAIN
GTEX-117YX-1226-SM-5H11S,THYROID
GTEX-146FR-0526-SM-5Q5EX,ESOPHAGUS
GTEX-145LT-0726-SM-5S2VM,BREAST
GTEX-13FTX-0726-SM-5N9BI,STOMACH
GTEX-13FLW-0011-R7b-SM-5L3EZ,BRAIN
GTEX-11GSO-2426-SM-5A5LY,SKIN
GTEX-S341-0126-SM-4AD64,ADRENAL GLAND
GTEX-1192W-2326-SM-5N9BS,TESTIS
GTEX-S32W-0326-SM-5S2T4,LUNG
GTEX-RVPV-0008-SM-47JYW,SKIN
GTEX-13QIC-0011-R3a-SM-5P9HT,BRAIN
GTEX-U8XE-0226-SM-4E3J3,SKIN
GTEX-XMD1-0011-R9A-SM-4AT49,BRAIN
GTEX-YECK-0926-SM-4W214,LUNG
GTEX-139T8-0011-R4a-SM-5HL54,BRAIN
GTEX-13113-1926-SM-5LZWG,SKIN
GTEX-12WSD-0126-SM-59HKN,SKIN
GTEX-WH7G-1926-SM-4LVMM,TESTIS
GTEX-12584-0726-SM-5FQTK,SKIN
GTEX-W5WG-2726-SM-4LMIC,ESOPHAGUS
GTEX-U3ZN-0008-SM-4DXTL,SKIN
GTEX-131XH-0626-SM-5LZWH,LIVER
GTEX-14BMU-0926-SM-5S2QB,ESOPHAGUS
GTEX-1445S-0011-R10a-SM-5PNWB,BRAIN
GTEX-13D11-0326-SM-5LZXX,LUNG
GTEX-145LV-1426-SM-5Q5BV,ESOPHAGUS
GTEX-1313W-0011-R3a-SM-5EGLI,BRAIN
GTEX-RNOR-0011-R3A-SM-5SI8E,BRAIN
GTEX-ZF2S-0426-SM-4WKGP,PANCREAS
GTEX-ZQUD-0008-SM-4YCCU,SKIN
GTEX-13N1W-0726-SM-5MR57,LUNG
GTEX-145LS-0011-R4b-SM-5S2UT,BRAIN
GTEX-XYKS-1226-SM-4BRVI,PANCREAS
GTEX-PWN1-2026-SM-48TD9,UTERUS
GTEX-ZDXO-0011-R11a-SM-4WWD9,BRAIN
GTEX-111YS-1126-SM-5GZYQ,STOMACH
GTEX-11XUK-0008-SM-5S2WD,SKIN
GTEX-P4QS-2626-SM-2I3EV,THYROID
GTEX-WQUQ-0426-SM-3MJFU,SKIN
GTEX-ZYW4-0626-SM-59HJR,SKIN
GTEX-11I78-0126-SM-5HL6F,LUNG
GTEX-Y8LW-1826-SM-5S2MV,SKIN
GTEX-11DXX-2126-SM-5PNYR,SKIN
GTEX-13FXS-0011-R8a-SM-5J1MN,BRAIN
GTEX-ZXG5-0926-SM-5NQ8H,THYROID
GTEX-WYJK-1826-SM-4ONDM,TESTIS
GTEX-QLQW-0226-SM-447BJ,ADRENAL GLAND
GTEX-Z9EW-0326-SM-5CVM8,ESOPHAGUS
GTEX-11DYG-1326-SM-5N9DO,ESOPHAGUS
GTEX-11DXY-3226-SM-5GIDE,BRAIN
GTEX-13OW5-0011-R4b-SM-5L3HS,BRAIN
GTEX-12BJ1-0926-SM-5EQ62,SKIN
GTEX-S341-1026-SM-4AD71,UTERUS
GTEX-14ABY-2126-SM-5QGQZ,BREAST
GTEX-14A6H-2026-SM-5Q5DD,SKIN
GTEX-12WSD-3026-SM-5LZU7,BRAIN
GTEX-13FHO-1026-SM-5KM1Q,LUNG
GTEX-13U4I-1426-SM-5J2M3,LUNG
GTEX-12WSJ-0826-SM-5PNWV,ESOPHAGUS
GTEX-132AR-1426-SM-5IFF1,OVARY
GTEX-1399U-1426-SM-5J1N8,ESOPHAGUS
GTEX-1212Z-0226-SM-59HLF,LIVER
GTEX-T5JW-1626-SM-3GADZ,SKIN
GTEX-11EQ9-0626-SM-5A5K1,THYROID
GTEX-117YX-1526-SM-5H12T,PROSTATE
GTEX-YFCO-0008-SM-4W1Z4,SKIN
GTEX-11GS4-2726-SM-5A5LE,SKIN
GTEX-X4EO-2926-SM-4E3JH,SKIN
GTEX-14H4A-0226-SM-5SI6Q,ADRENAL GLAND
GTEX-13FLV-0011-R9b-SM-5L3DA,BRAIN
GTEX-14ABY-0011-R7b-SM-5PNWS,BRAIN
GTEX-13O61-0126-SM-5KM4P,ADRENAL GLAND
GTEX-XYKS-0926-SM-4BRVG,ADRENAL GLAND
GTEX-1399U-1126-SM-5L3DB,SKIN
GTEX-12ZZY-0226-SM-5LZVE,SKIN
GTEX-XBED-2226-SM-47JYQ,SKIN
GTEX-UJHI-0008-SM-4IHL1,SKIN
GTEX-PLZ4-0126-SM-5SI8O,SKIN
GTEX-13N1W-0011-R5b-SM-5MR5Q,BRAIN
GTEX-O5YV-1126-SM-3LK73,ADRENAL GLAND
GTEX-S7SF-0626-SM-4AD4V,STOMACH
GTEX-ZAB4-0826-SM-5LU9D,LIVER
GTEX-OHPK-2426-SM-3MJGH,OVARY
GTEX-12ZZY-0726-SM-5EQ66,SKIN
GTEX-R53T-0426-SM-48FEM,PANCREAS
GTEX-1497J-0126-SM-5Q5BK,THYROID
GTEX-11OF3-1826-SM-5987N,TESTIS
GTEX-WFJO-0726-SM-4LVM8,ESOPHAGUS
GTEX-13QJC-0011-R9b-SM-5PNX3,BRAIN
K-562-SM-5PNWU,BONE MARROW
GTEX-TSE9-0011-R8A-SM-3DB7R,BRAIN
GTEX-YEC3-1426-101806-SM-5PNXX,STOMACH
GTEX-ZY6K-1826-SM-5GZXK,SKIN
GTEX-WHPG-1226-SM-4M1ZI,ESOPHAGUS
GTEX-Y9LG-0126-SM-5Q59W,ADRENAL GLAND
GTEX-QVUS-0008-SM-447AY,SKIN
GTEX-T8EM-0326-SM-3DB7F,LUNG
GTEX-QDVJ-0008-SM-48U2E,SKIN
GTEX-11I78-1626-SM-5A5M2,ESOPHAGUS
GTEX-ZVE2-0226-SM-59HJB,SKIN
GTEX-144GL-0011-R3a-SM-5P9HP,BRAIN
GTEX-P44H-0011-R11A-SM-2XCER,BRAIN
GTEX-XUJ4-0726-SM-4BOOP,THYROID
GTEX-14B4R-1326-SM-5Q5EZ,SKIN
GTEX-145ME-1326-SM-5O98Q,UTERUS
GTEX-QMRM-0726-SM-2I5G8,THYROID
GTEX-145MF-0826-SM-5QGQA,LIVER
GTEX-145MO-0326-SM-5Q5B3,SKIN
GTEX-O5YW-1526-SM-3MJGL,STOMACH
GTEX-XV7Q-1026-SM-4BRVR,ESOPHAGUS
GTEX-131XG-1026-SM-5GCMX,ESOPHAGUS
K-562-SM-5Q5CL,BONE MARROW
GTEX-ZTSS-1926-SM-57WEW,SKIN
GTEX-S3XE-0526-SM-4AD4G,PANCREAS
GTEX-QCQG-0626-SM-48U21,ESOPHAGUS
GTEX-XQ8I-1526-SM-4BOOH,ESOPHAGUS
GTEX-WXYG-0226-SM-3NB2Y,THYROID
GTEX-ZLV1-0226-SM-4WWC1,ADRENAL GLAND
GTEX-WY7C-1726-SM-4ONCC,STOMACH
GTEX-145MN-0226-SM-5QGPY,ADRENAL GLAND
GTEX-S3XE-1026-SM-4AD4O,STOMACH
GTEX-T6MN-0011-R10A-SM-5S2SB,BRAIN
GTEX-R55C-0726-SM-48FCN,ESOPHAGUS
GTEX-XBEW-0008-SM-4AT3Y,SKIN
GTEX-1313W-3126-SM-5LZUI,BRAIN
GTEX-TMMY-0926-SM-4VBQZ,LUNG
GTEX-11GSP-0008-SM-5Q5DM,SKIN
GTEX-QVUS-0011-R8A-SM-3GAD7,BRAIN
GTEX-WYJK-0826-SM-3NM8Y,LUNG
GTEX-13O3Q-0826-SM-5IFGF,ESOPHAGUS
GTEX-12WSM-2126-SM-5GCOC,BRAIN
GTEX-QV31-0626-SM-447C5,STOMACH
GTEX-YF7O-0726-SM-4W213,THYROID
GTEX-OOBJ-0526-SM-48TDK,LUNG
GTEX-1399S-1626-SM-5P9GI,STOMACH
GTEX-NPJ8-0326-SM-26GMG,LUNG
GTEX-XBEC-0008-SM-4AT3X,SKIN
GTEX-ZDTT-2726-SM-4WKF8,SKIN
GTEX-T5JC-0426-SM-32PLO,SKIN
GTEX-1313W-0011-R7b-SM-5DUWL,BRAIN
GTEX-145LS-0011-R5a-SM-5SI65,BRAIN
GTEX-12WSB-3026-SM-59HKM,BRAIN
GTEX-ZF2S-2026-SM-5E461,BREAST
GTEX-S7SE-0011-R4A-SM-2XCDB,BRAIN
GTEX-1399S-0126-SM-5IJCF,SKIN
GTEX-ZA64-0226-SM-5HL9C,ADRENAL GLAND
GTEX-13CF3-2126-SM-5IFJP,BREAST
GTEX-145MF-1526-SM-5LU95,ESOPHAGUS
GTEX-PWCY-1326-SM-48TCU,OVARY
GTEX-111FC-2526-SM-5GZXU,SKIN
GTEX-T5JC-0011-R5A-SM-32PLK,BRAIN
GTEX-13N2G-0011-R5a-SM-5MR33,BRAIN
GTEX-13NYS-0011-R3b-SM-5MR41,BRAIN
GTEX-11ZTT-0926-SM-5EQMS,ESOPHAGUS
GTEX-11DYG-1426-SM-5A5JR,ESOPHAGUS
GTEX-139UC-0011-R3b-SM-5K7VZ,BRAIN
GTEX-QDT8-0011-R11A-SM-32PKD,BRAIN
GTEX-139UW-2826-SM-5L3E7,SKIN
GTEX-12WSN-0926-SM-5GCN1,ADRENAL GLAND
GTEX-YEC3-0826-SM-4WWFP,THYROID
GTEX-UTHO-0011-R2A-SM-3GIKC,BRAIN
K-562-SM-4LMI2,BONE MARROW
GTEX-139TT-0126-SM-5K7Y5,SKIN
GTEX-P44G-2526-SM-2I5EK,BRAIN
GTEX-XLM4-0011-R10A-SM-4AT5P,BRAIN
GTEX-X4XY-0926-SM-4E3JD,BREAST
GTEX-UTHO-0011-R1A-SM-3GIJO,BRAIN
GTEX-X4EP-0011-R8B-SM-4QASL,BRAIN
GTEX-145MG-0011-R10a-SM-5PNWG,BRAIN
GTEX-139TT-0011-R11b-SM-5LZV1,BRAIN
GTEX-13X6I-1026-SM-5LU4C,ESOPHAGUS
GTEX-YJ89-0011-R3b-SM-4V6EF,BRAIN
GTEX-139T6-1626-SM-5PNYZ,BREAST
GTEX-144GN-0426-SM-5O9AP,LUNG
GTEX-13OW7-0126-SM-5MR3B,SKIN
GTEX-12BJ1-1326-SM-5BC5P,TESTIS
GTEX-12WSF-0011-R7b-SM-5HL99,BRAIN
GTEX-R55G-1526-SM-48FER,OVARY
GTEX-11EQ9-1726-SM-5HL6U,PROSTATE
GTEX-12WSL-0226-SM-5CVMJ,LIVER
GTEX-T5JC-0011-R8A-SM-32PLM,BRAIN
GTEX-13NZ8-0226-SM-5J2OK,THYROID
GTEX-QDT8-0011-R6A-SM-32PKI,BRAIN
GTEX-WYBS-1626-SM-4ONCA,ESOPHAGUS
GTEX-117YX-0126-SM-5EGH5,ADRENAL GLAND
GTEX-11ZUS-0008-SM-5S2UO,SKIN
GTEX-S33H-0626-SM-2XCBJ,LUNG
GTEX-13QJC-0011-R10a-SM-5SI63,BRAIN
GTEX-12WSN-2326-SM-5DUVG,SKIN
GTEX-12WSC-0011-R3a-SM-5P9F1,BRAIN
GTEX-X4XX-3026-SM-3NMB2,BRAIN
GTEX-13OVL-0011-R9a-SM-5P9GX,BRAIN
GTEX-113JC-0008-SM-5QGR6,SKIN
GTEX-RNOR-0011-R4A-SM-3GAD3,BRAIN
